Symbol,Datetime,Open,High,Low,Close,Volume,fetched_at_utc
GOOGL,2025-08-05 00:00:00,194.71,197.8599,193.885,194.67,31602340,2025-11-22 20:32:03.965157
GOOGL,2025-08-04 00:00:00,190.29,195.27,190.12,195.04,31547350,2025-11-22 20:32:03.965575
GOOGL,2025-08-01 00:00:00,189.025,190.83,187.82,189.13,34832181,2025-11-22 20:32:03.966012
GOOGL,2025-07-31 00:00:00,195.71,195.99,191.09,191.9,51329163,2025-11-22 20:32:03.966410
GOOGL,2025-07-30 00:00:00,195.6,197.5999,194.685,196.53,32445405,2025-11-22 20:32:03.966850
GOOGL,2025-07-29 00:00:00,192.43,195.92,192.08,195.75,41389153,2025-11-22 20:32:03.967447
GOOGL,2025-07-28 00:00:00,193.65,194.05,190.84,192.58,38139504,2025-11-22 20:32:03.967882
GOOGL,2025-07-25 00:00:00,191.98,194.33,191.26,193.18,39785863,2025-11-22 20:32:03.968535
GOOGL,2025-07-24 00:00:00,197.03,197.95,191.0,192.17,74881687,2025-11-22 20:32:03.969544
GOOGL,2025-07-23 00:00:00,191.5,192.53,189.18,190.23,58681948,2025-11-22 20:32:03.970310
GOOGL,2025-07-22 00:00:00,191.495,191.645,187.46,191.34,44660215,2025-11-22 20:32:03.970972
GOOGL,2025-07-21 00:00:00,186.25,190.285,186.15,190.1,45803129,2025-11-22 20:32:03.971692
GOOGL,2025-07-18 00:00:00,185.4,186.42,183.71,185.06,34014509,2025-11-22 20:32:03.972160
GOOGL,2025-07-17 00:00:00,182.14,184.06,180.48,183.58,31992565,2025-11-22 20:32:03.972593
GOOGL,2025-07-16 00:00:00,183.235,184.327,182.03,182.97,33104193,2025-11-22 20:32:03.973015
GOOGL,2025-07-15 00:00:00,182.81,184.22,181.6,182.0,33448251,2025-11-22 20:32:03.973380
GOOGL,2025-07-14 00:00:00,181.01,183.67,179.68,181.56,32536632,2025-11-22 20:32:03.973723
GOOGL,2025-07-11 00:00:00,176.785,181.43,176.48,180.19,34282922,2025-11-22 20:32:03.974034
GOOGL,2025-07-10 00:00:00,175.63,178.429,174.38,177.62,29252386,2025-11-22 20:32:03.974342
GOOGL,2025-07-09 00:00:00,175.25,179.44,172.77,176.62,43025594,2025-11-22 20:32:03.974665
GOOGL,2025-07-08 00:00:00,177.85,177.95,172.81,174.36,40442535,2025-11-22 20:32:03.974999
GOOGL,2025-07-07 00:00:00,179.06,179.297,175.68,176.79,34175648,2025-11-22 20:32:03.975303
GOOGL,2025-07-03 00:00:00,178.5,179.67,177.05,179.53,21689729,2025-11-22 20:32:03.975598
